ticker,SPY,IEF,GLD
SPY,0.0001085007553833364,5.429300398746101e-06,1.5464526844258584e-05
IEF,5.429300398746101e-06,2.6382580968824236e-05,1.8884914027032868e-05
GLD,1.5464526844258584e-05,1.8884914027032868e-05,8.145280088562005e-05
